你是一个专业的量化投资分析助手，你的任务是对给定的ETF进行横向比较和排序。你将获得某个交易日多只ETF的量化因子数据，请仅依据这些数值进行综合分析，输出排序结果。

## 任务定义
基于提供的ETF因子截面数据，对它们进行横向比较，按照“未来收益潜力与风险调整后收益”的综合评估进行排序。你需要扮演一个纯粹的“横向比较与排序器”，不进行时间序列预测，也不引入任何外部知识或历史经验。排序必须完全基于当前提供的因子数值。

## 因子说明
以下是每个因子的含义，请理解后用于比较：
- momentum_20：20日动量，反映过去20日的价格趋势强度。
- volatility_20：20日波动率，反映过去20日收益率的波动程度，越低代表越稳定。
- volume_mean_20：20日成交量均值，反映近期交易活跃度。
- return_mean_20：20日平均涨跌幅，反映近期平均日收益。
- amplitude_mean_20：20日振幅均值，反映近期价格波动范围。
- turnover_mean_20：20日换手率均值，反映近期筹码换手频率。
- MA_5：5日移动平均线，反映极短期价格趋势。
- MA_10：10日移动平均线，反映短期价格趋势。
- 涨跌幅：当日涨跌幅，反映当日价格变动百分比。
- 振幅：当日振幅，反映当日价格波动范围。
- 换手率：当日换手率，反映当日筹码换手频率。
- 成交量：当日成交量，反映当日交易活跃度。
- 成交额：当日成交额，反映当日交易金额规模。

## 约束条件
1. 禁止联网搜索或使用任何外部知识库，仅依据输入数值进行比较。
2. 禁止进行时间序列预测或趋势外推，仅做横截面比较。
3. 输出格式必须严格遵守下方要求，不得输出任何额外的自然语言解释、评论或发散性内容。
4. 排序应综合考虑收益潜力（如动量、涨跌幅、移动平均线等）与风险控制（如波动率、振幅等），追求风险调整后的收益。
5. 由于ETF数量较多（50只），建议先分组比较：可将50只ETF分为5组，每组10只，先选出每组前2名，再对10只优胜者进行最终排序。

## 输出格式
你必须输出一个合法的JSON对象，且只包含该JSON对象，格式如下：
{
  "rankings": [
    {"code": "ETF代码1", "score": 0.95},
    {"code": "ETF代码2", "score": 0.87},
    ...
  ]
}
其中：
- "rankings" 是一个数组，按综合评分从高到低排列。
- 每个元素包含 "code"（ETF代码，字符串）和 "score"（综合评分，浮点数，范围0~1，评分越高代表综合表现越好）。
- 数组长度必须等于输入ETF的数量。
- 评分应体现相对优劣，可以基于数值归一化或主观加权，但需保持一致性。

## 输入数据
以下是当前交易日（2025-12-26）的ETF因子数据（数值已标准化处理，可直接比较）：
ETF代码 513310: 开盘: 2.525, 收盘: 2.532, 最高: 2.546, 最低: 2.521, 成交量: 6773021, 成交额: 1716502802.0, 振幅: 1.0, 涨跌幅: 0.8, 涨跌额: 0.02, 换手率: 40.57, momentum_20: 0.023858, volatility_20: 0.01857, volume_mean_20: 9903312.85, return_mean_20: 0.134, amplitude_mean_20: 2.093, turnover_mean_20: 59.3215, MA_5: 2.499, MA_10: 2.4438, y_pred_Y_next_day_return: 0.000413, y_pred_Y_future_5d_return: 0.011071, y_pred_Y_future_10d_return: 0.041295, y_pred_Y_future_5d_vol_change: 0.468571, y_pred_Y_future_10d_vol_change: 0.367946
ETF代码 159307: 开盘: 1.072, 收盘: 1.072, 最高: 1.074, 最低: 1.068, 成交量: 359822, 成交额: 38530271.0, 振幅: 0.56, 涨跌幅: 0.09, 涨跌额: 0.001, 换手率: 1.23, momentum_20: -0.003717, volatility_20: 0.003742, volume_mean_20: 601354.1, return_mean_20: -0.018, amplitude_mean_20: 0.7165, turnover_mean_20: 2.0545, MA_5: 1.0688, MA_10: 1.0685, y_pred_Y_next_day_return: -0.000118, y_pred_Y_future_5d_return: 0.001202, y_pred_Y_future_10d_return: 0.007875, y_pred_Y_future_5d_vol_change: 0.364649, y_pred_Y_future_10d_vol_change: 0.337226
ETF代码 518850: 开盘: 9.74, 收盘: 9.718, 最高: 9.741, 最低: 9.686, 成交量: 593432, 成交额: 576558027.0, 振幅: 0.57, 涨跌幅: 0.79, 涨跌额: 0.076, 换手率: 3.56, momentum_20: 0.064753, volatility_20: 0.00857, volume_mean_20: 548895.3, return_mean_20: 0.3175, amplitude_mean_20: 0.7065, turnover_mean_20: 3.289, MA_5: 9.6708, MA_10: 9.5217, y_pred_Y_next_day_return: -0.000405, y_pred_Y_future_5d_return: 0.000788, y_pred_Y_future_10d_return: 0.006229, y_pred_Y_future_5d_vol_change: 0.275096, y_pred_Y_future_10d_vol_change: 0.224215
ETF代码 510900: 开盘: 1.151, 收盘: 1.155, 最高: 1.155, 最低: 1.15, 成交量: 261731, 成交额: 30171177.0, 振幅: 0.44, 涨跌幅: 0.52, 涨跌额: 0.006, 换手率: 0.46, momentum_20: -0.020356, volatility_20: 0.009825, volume_mean_20: 1455757.55, return_mean_20: -0.098, amplitude_mean_20: 1.1385, turnover_mean_20: 2.5815, MA_5: 1.1518, MA_10: 1.1476, y_pred_Y_next_day_return: -0.000228, y_pred_Y_future_5d_return: 0.000712, y_pred_Y_future_10d_return: 0.000264, y_pred_Y_future_5d_vol_change: 0.338138, y_pred_Y_future_10d_vol_change: 0.296864
ETF代码 159520: 开盘: 1.054, 收盘: 1.058, 最高: 1.059, 最低: 1.053, 成交量: 124821, 成交额: 13186445.6, 振幅: 0.57, 涨跌幅: 0.38, 涨跌额: 0.004, 换手率: 7.6, momentum_20: -0.003766, volatility_20: 0.005391, volume_mean_20: 88587.4, return_mean_20: -0.0175, amplitude_mean_20: 0.864, turnover_mean_20: 5.396, MA_5: 1.0564, MA_10: 1.055, y_pred_Y_next_day_return: -3e-05, y_pred_Y_future_5d_return: 0.000604, y_pred_Y_future_10d_return: -0.003123, y_pred_Y_future_5d_vol_change: 1.569419, y_pred_Y_future_10d_vol_change: 0.348785
ETF代码 515080: 开盘: 1.543, 收盘: 1.55, 最高: 1.551, 最低: 1.542, 成交量: 1564120, 成交额: 242016257.0, 振幅: 0.58, 涨跌幅: 0.39, 涨跌额: 0.006, 换手率: 3.25, momentum_20: -0.005773, volatility_20: 0.005082, volume_mean_20: 1277371.05, return_mean_20: -0.028, amplitude_mean_20: 0.79, turnover_mean_20: 2.6575, MA_5: 1.5404, MA_10: 1.5373, y_pred_Y_next_day_return: 0.000112, y_pred_Y_future_5d_return: 0.000471, y_pred_Y_future_10d_return: 0.00623, y_pred_Y_future_5d_vol_change: 0.24936, y_pred_Y_future_10d_vol_change: 0.062249
ETF代码 520550: 开盘: 1.201, 收盘: 1.209, 最高: 1.209, 最低: 1.2, 成交量: 282242, 成交额: 34230901.0, 振幅: 0.75, 涨跌幅: 0.75, 涨跌额: 0.009, 换手率: 2.85, momentum_20: -0.010638, volatility_20: 0.006982, volume_mean_20: 381460.15, return_mean_20: -0.0505, amplitude_mean_20: 0.8605, turnover_mean_20: 3.851, MA_5: 1.2018, MA_10: 1.2003, y_pred_Y_next_day_return: -1.1e-05, y_pred_Y_future_5d_return: 0.000355, y_pred_Y_future_10d_return: 0.00475, y_pred_Y_future_5d_vol_change: 0.112317, y_pred_Y_future_10d_vol_change: 0.149206
ETF代码 513730: 开盘: 1.391, 收盘: 1.391, 最高: 1.392, 最低: 1.389, 成交量: 67739, 成交额: 9419456.0, 振幅: 0.22, 涨跌幅: -0.07, 涨跌额: -0.001, 换手率: 0.77, momentum_20: -0.009964, volatility_20: 0.009122, volume_mean_20: 273578.2, return_mean_20: -0.046, amplitude_mean_20: 0.8325, turnover_mean_20: 3.1105, MA_5: 1.3922, MA_10: 1.3814, y_pred_Y_next_day_return: -0.000124, y_pred_Y_future_5d_return: 0.000308, y_pred_Y_future_10d_return: 0.012474, y_pred_Y_future_5d_vol_change: 0.768861, y_pred_Y_future_10d_vol_change: 0.450084
ETF代码 512290: 开盘: 1.024, 收盘: 1.027, 最高: 1.029, 最低: 1.02, 成交量: 502825, 成交额: 51562530.0, 振幅: 0.88, 涨跌幅: 0.29, 涨跌额: 0.003, 换手率: 1.31, momentum_20: -0.0125, volatility_20: 0.008601, volume_mean_20: 495867.55, return_mean_20: -0.059, amplitude_mean_20: 1.3525, turnover_mean_20: 1.296, MA_5: 1.0226, MA_10: 1.0178, y_pred_Y_next_day_return: -0.000451, y_pred_Y_future_5d_return: 0.000255, y_pred_Y_future_10d_return: 0.001562, y_pred_Y_future_5d_vol_change: 0.334946, y_pred_Y_future_10d_vol_change: 0.244696
ETF代码 510760: 开盘: 1.284, 收盘: 1.287, 最高: 1.291, 最低: 1.279, 成交量: 1509155, 成交额: 193937249.0, 振幅: 0.93, 涨跌幅: 0.23, 涨跌额: 0.003, 换手率: 10.35, momentum_20: 0.027955, volatility_20: 0.005945, volume_mean_20: 1151711.5, return_mean_20: 0.1385, amplitude_mean_20: 0.9165, turnover_mean_20: 7.9025, MA_5: 1.2788, MA_10: 1.267, y_pred_Y_next_day_return: 0.000108, y_pred_Y_future_5d_return: 0.000227, y_pred_Y_future_10d_return: 0.002837, y_pred_Y_future_5d_vol_change: 0.286648, y_pred_Y_future_10d_vol_change: 0.318248
ETF代码 510180: 开盘: 4.047, 收盘: 4.065, 最高: 4.078, 最低: 4.042, 成交量: 135399, 成交额: 55559848.0, 振幅: 0.89, 涨跌幅: 0.44, 涨跌额: 0.018, 换手率: 0.24, momentum_20: 0.027813, volatility_20: 0.006425, volume_mean_20: 211285.0, return_mean_20: 0.1375, amplitude_mean_20: 0.984, turnover_mean_20: 0.3775, MA_5: 4.0384, MA_10: 4.0026, y_pred_Y_next_day_return: 0.000372, y_pred_Y_future_5d_return: 0.000199, y_pred_Y_future_10d_return: 0.003989, y_pred_Y_future_5d_vol_change: 0.329444, y_pred_Y_future_10d_vol_change: 0.295013
ETF代码 560080: 开盘: 1.062, 收盘: 1.06, 最高: 1.065, 最低: 1.057, 成交量: 398079, 成交额: 42226975.0, 振幅: 0.75, 涨跌幅: -0.19, 涨跌额: -0.002, 换手率: 1.62, momentum_20: -0.017609, volatility_20: 0.00658, volume_mean_20: 510806.4, return_mean_20: -0.0865, amplitude_mean_20: 0.886, turnover_mean_20: 2.0795, MA_5: 1.0596, MA_10: 1.0593, y_pred_Y_next_day_return: -0.000382, y_pred_Y_future_5d_return: 0.000198, y_pred_Y_future_10d_return: 0.004671, y_pred_Y_future_5d_vol_change: 0.429265, y_pred_Y_future_10d_vol_change: 0.210668
ETF代码 562320: 开盘: 1.362, 收盘: 1.367, 最高: 1.372, 最低: 1.362, 成交量: 71597, 成交额: 9793059.0, 振幅: 0.73, 涨跌幅: 0.29, 涨跌额: 0.004, 换手率: 8.39, momentum_20: 0.021674, volatility_20: 0.005133, volume_mean_20: 63782.95, return_mean_20: 0.1085, amplitude_mean_20: 1.0145, turnover_mean_20: 7.4775, MA_5: 1.3628, MA_10: 1.3587, y_pred_Y_next_day_return: 0.00016, y_pred_Y_future_5d_return: 0.000141, y_pred_Y_future_10d_return: 0.003153, y_pred_Y_future_5d_vol_change: 0.872367, y_pred_Y_future_10d_vol_change: 0.489825
ETF代码 560500: 开盘: 1.207, 收盘: 1.215, 最高: 1.219, 最低: 1.206, 成交量: 104007, 成交额: 12626830.0, 振幅: 1.08, 涨跌幅: 0.91, 涨跌额: 0.011, 换手率: 2.89, momentum_20: 0.065789, volatility_20: 0.008964, volume_mean_20: 47338.85, return_mean_20: 0.324, amplitude_mean_20: 1.334, turnover_mean_20: 1.317, MA_5: 1.2, MA_10: 1.1849, y_pred_Y_next_day_return: 0.000239, y_pred_Y_future_5d_return: -5e-05, y_pred_Y_future_10d_return: 0.001142, y_pred_Y_future_5d_vol_change: 0.375073, y_pred_Y_future_10d_vol_change: 0.184355
ETF代码 562060: 开盘: 0.615, 收盘: 0.619, 最高: 0.619, 最低: 0.615, 成交量: 1121010, 成交额: 69197330.0, 振幅: 0.65, 涨跌幅: 0.49, 涨跌额: 0.003, 换手率: 2.08, momentum_20: 0.021452, volatility_20: 0.006589, volume_mean_20: 1109714.05, return_mean_20: 0.1085, amplitude_mean_20: 0.986, turnover_mean_20: 2.063, MA_5: 0.6138, MA_10: 0.61, y_pred_Y_next_day_return: 0.000241, y_pred_Y_future_5d_return: -8.7e-05, y_pred_Y_future_10d_return: 0.009018, y_pred_Y_future_5d_vol_change: 0.625771, y_pred_Y_future_10d_vol_change: 0.245412
ETF代码 517300: 开盘: 0.944, 收盘: 0.948, 最高: 0.949, 最低: 0.942, 成交量: 22884, 成交额: 2166901.0, 振幅: 0.74, 涨跌幅: 0.42, 涨跌额: 0.004, 换手率: 0.12, momentum_20: 0.022654, volatility_20: 0.00708, volume_mean_20: 29631.95, return_mean_20: 0.114, amplitude_mean_20: 1.0375, turnover_mean_20: 0.1535, MA_5: 0.9444, MA_10: 0.9377, y_pred_Y_next_day_return: 8.5e-05, y_pred_Y_future_5d_return: -0.000101, y_pred_Y_future_10d_return: 0.001406, y_pred_Y_future_5d_vol_change: 0.452833, y_pred_Y_future_10d_vol_change: 0.245478
ETF代码 510880: 开盘: 3.027, 收盘: 3.044, 最高: 3.044, 最低: 3.024, 成交量: 1214765, 成交额: 386249074.0, 振幅: 0.66, 涨跌幅: 0.43, 涨跌额: 0.013, 换手率: 2.27, momentum_20: -0.013929, volatility_20: 0.005304, volume_mean_20: 1400965.65, return_mean_20: -0.068, amplitude_mean_20: 0.8435, turnover_mean_20: 2.6165, MA_5: 3.026, MA_10: 3.0215, y_pred_Y_next_day_return: -5e-06, y_pred_Y_future_5d_return: -0.000114, y_pred_Y_future_10d_return: 0.002839, y_pred_Y_future_5d_vol_change: 0.336241, y_pred_Y_future_10d_vol_change: 0.199727
ETF代码 512980: 开盘: 0.963, 收盘: 0.967, 最高: 0.972, 最低: 0.958, 成交量: 953263, 成交额: 92083908.0, 振幅: 1.45, 涨跌幅: 0.1, 涨跌额: 0.001, 换手率: 1.2, momentum_20: -0.024218, volatility_20: 0.013413, volume_mean_20: 918106.35, return_mean_20: -0.1135, amplitude_mean_20: 1.8225, turnover_mean_20: 1.1545, MA_5: 0.9628, MA_10: 0.9545, y_pred_Y_next_day_return: -0.000629, y_pred_Y_future_5d_return: -0.000172, y_pred_Y_future_10d_return: 0.000882, y_pred_Y_future_5d_vol_change: 0.233159, y_pred_Y_future_10d_vol_change: 0.102147
ETF代码 516310: 开盘: 1.354, 收盘: 1.348, 最高: 1.354, 最低: 1.346, 成交量: 750437, 成交额: 101179765.0, 振幅: 0.59, 涨跌幅: -0.3, 涨跌额: -0.004, 换手率: 3.82, momentum_20: -0.02248, volatility_20: 0.007121, volume_mean_20: 669326.05, return_mean_20: -0.111, amplitude_mean_20: 1.071, turnover_mean_20: 3.4075, MA_5: 1.3522, MA_10: 1.3503, y_pred_Y_next_day_return: -0.000446, y_pred_Y_future_5d_return: -0.000249, y_pred_Y_future_10d_return: -3.9e-05, y_pred_Y_future_5d_vol_change: 0.473001, y_pred_Y_future_10d_vol_change: 0.231452
ETF代码 159910: 开盘: 2.388, 收盘: 2.391, 最高: 2.398, 最低: 2.384, 成交量: 8817, 成交额: 2110341.0, 振幅: 0.59, 涨跌幅: 0.72, 涨跌额: 0.017, 换手率: 0.86, momentum_20: 0.020922, volatility_20: 0.007047, volume_mean_20: 7351.35, return_mean_20: 0.1055, amplitude_mean_20: 0.85, turnover_mean_20: 0.7145, MA_5: 2.368, MA_10: 2.354, y_pred_Y_next_day_return: 0.000459, y_pred_Y_future_5d_return: -0.000289, y_pred_Y_future_10d_return: -0.001596, y_pred_Y_future_5d_vol_change: 0.292751, y_pred_Y_future_10d_vol_change: 0.208037
ETF代码 513630: 开盘: 1.614, 收盘: 1.623, 最高: 1.625, 最低: 1.614, 成交量: 1378301, 成交额: 224160346.0, 振幅: 0.68, 涨跌幅: 0.56, 涨跌额: 0.009, 换手率: 1.44, momentum_20: -0.009762, volatility_20: 0.008215, volume_mean_20: 2512642.25, return_mean_20: -0.0455, amplitude_mean_20: 0.957, turnover_mean_20: 2.624, MA_5: 1.6166, MA_10: 1.6132, y_pred_Y_next_day_return: -0.000213, y_pred_Y_future_5d_return: -0.000309, y_pred_Y_future_10d_return: 0.008473, y_pred_Y_future_5d_vol_change: 0.280486, y_pred_Y_future_10d_vol_change: 0.266754
ETF代码 159905: 开盘: 1.81, 收盘: 1.821, 最高: 1.825, 最低: 1.808, 成交量: 316394, 成交额: 57592212.7, 振幅: 0.94, 涨跌幅: 0.61, 涨跌额: 0.011, 换手率: 3.42, momentum_20: 0.016183, volatility_20: 0.006898, volume_mean_20: 242870.65, return_mean_20: 0.0825, amplitude_mean_20: 1.0315, turnover_mean_20: 2.6255, MA_5: 1.8104, MA_10: 1.8041, y_pred_Y_next_day_return: 0.000127, y_pred_Y_future_5d_return: -0.00031, y_pred_Y_future_10d_return: 0.000314, y_pred_Y_future_5d_vol_change: 0.554742, y_pred_Y_future_10d_vol_change: 0.273627
ETF代码 563000: 开盘: 1.077, 收盘: 1.078, 最高: 1.085, 最低: 1.073, 成交量: 413681, 成交额: 44690569.0, 振幅: 1.11, 涨跌幅: 0.09, 涨跌额: 0.001, 换手率: 1.9, momentum_20: 0.039537, volatility_20: 0.008113, volume_mean_20: 364658.85, return_mean_20: 0.1975, amplitude_mean_20: 1.268, turnover_mean_20: 1.6765, MA_5: 1.0738, MA_10: 1.0626, y_pred_Y_next_day_return: 9.4e-05, y_pred_Y_future_5d_return: -0.000531, y_pred_Y_future_10d_return: -0.001463, y_pred_Y_future_5d_vol_change: 0.409909, y_pred_Y_future_10d_vol_change: 0.201316
ETF代码 512690: 开盘: 0.552, 收盘: 0.55, 最高: 0.554, 最低: 0.548, 成交量: 14938671, 成交额: 822380009.0, 振幅: 1.08, 涨跌幅: -0.72, 涨跌额: -0.004, 换手率: 4.24, momentum_20: -0.056604, volatility_20: 0.00738, volume_mean_20: 14643184.15, return_mean_20: -0.2885, amplitude_mean_20: 1.2955, turnover_mean_20: 4.1575, MA_5: 0.551, MA_10: 0.5523, y_pred_Y_next_day_return: -0.000611, y_pred_Y_future_5d_return: -0.000537, y_pred_Y_future_10d_return: 0.000328, y_pred_Y_future_5d_vol_change: 1.462931, y_pred_Y_future_10d_vol_change: 0.855531
