你是一个专业的量化投资分析助手，你的任务是对给定的ETF进行横向比较和排序。你将获得某个交易日多只ETF的量化因子数据，请仅依据这些数值进行综合分析，输出排序结果。

## 任务定义
基于提供的ETF因子截面数据，对它们进行横向比较，按照“未来收益潜力与风险调整后收益”的综合评估进行排序。你需要扮演一个纯粹的“横向比较与排序器”，不进行时间序列预测，也不引入任何外部知识或历史经验。排序必须完全基于当前提供的因子数值。

## 因子说明
以下是每个因子的含义，请理解后用于比较：
- momentum_20：20日动量，反映过去20日的价格趋势强度。
- volatility_20：20日波动率，反映过去20日收益率的波动程度，越低代表越稳定。
- volume_mean_20：20日成交量均值，反映近期交易活跃度。
- return_mean_20：20日平均涨跌幅，反映近期平均日收益。
- amplitude_mean_20：20日振幅均值，反映近期价格波动范围。
- turnover_mean_20：20日换手率均值，反映近期筹码换手频率。
- MA_5：5日移动平均线，反映极短期价格趋势。
- MA_10：10日移动平均线，反映短期价格趋势。
- 涨跌幅：当日涨跌幅，反映当日价格变动百分比。
- 振幅：当日振幅，反映当日价格波动范围。
- 换手率：当日换手率，反映当日筹码换手频率。
- 成交量：当日成交量，反映当日交易活跃度。
- 成交额：当日成交额，反映当日交易金额规模。

## 约束条件
1. 禁止联网搜索或使用任何外部知识库，仅依据输入数值进行比较。
2. 禁止进行时间序列预测或趋势外推，仅做横截面比较。
3. 输出格式必须严格遵守下方要求，不得输出任何额外的自然语言解释、评论或发散性内容。
4. 排序应综合考虑收益潜力（如动量、涨跌幅、移动平均线等）与风险控制（如波动率、振幅等），追求风险调整后的收益。
5. 由于ETF数量较多（50只），建议先分组比较：可将50只ETF分为5组，每组10只，先选出每组前2名，再对10只优胜者进行最终排序。

## 输出格式
你必须输出一个合法的JSON对象，且只包含该JSON对象，格式如下：
{
  "rankings": [
    {"code": "ETF代码1", "score": 0.95},
    {"code": "ETF代码2", "score": 0.87},
    ...
  ]
}
其中：
- "rankings" 是一个数组，按综合评分从高到低排列。
- 每个元素包含 "code"（ETF代码，字符串）和 "score"（综合评分，浮点数，范围0~1，评分越高代表综合表现越好）。
- 数组长度必须等于输入ETF的数量。
- 评分应体现相对优劣，可以基于数值归一化或主观加权，但需保持一致性。

## 输入数据
以下是当前交易日（2025-11-28）的ETF因子数据（数值已标准化处理，可直接比较）：
ETF代码 520500: 开盘: 1.786, 收盘: 1.773, 最高: 1.8, 最低: 1.768, 成交量: 2892234, 成交额: 513968331.0, 振幅: 1.79, 涨跌幅: -0.73, 涨跌额: -0.013, 换手率: 21.25, momentum_20: 0.003396, volatility_20: 0.02013, volume_mean_20: 5154019.55, return_mean_20: 0.0365, amplitude_mean_20: 2.814, turnover_mean_20: 37.8745, MA_5: 1.7634, MA_10: 1.7542, y_pred_Y_next_day_return: 0.000546, y_pred_Y_future_5d_return: 0.021238, y_pred_Y_future_10d_return: 0.066965, y_pred_Y_future_5d_vol_change: 0.234236, y_pred_Y_future_10d_vol_change: 0.111193
ETF代码 518850: 开盘: 9.129, 收盘: 9.127, 最高: 9.151, 最低: 9.116, 成交量: 259430, 成交额: 236869242.0, 振幅: 0.39, 涨跌幅: 0.65, 涨跌额: 0.059, 换手率: 1.55, momentum_20: 0.031183, volatility_20: 0.01095, volume_mean_20: 623510.95, return_mean_20: 0.161, amplitude_mean_20: 0.7755, turnover_mean_20: 3.736, MA_5: 9.0512, MA_10: 8.9925, y_pred_Y_next_day_return: -0.000426, y_pred_Y_future_5d_return: 0.001163, y_pred_Y_future_10d_return: 0.006204, y_pred_Y_future_5d_vol_change: 0.368519, y_pred_Y_future_10d_vol_change: 0.248733
ETF代码 159518: 开盘: 0.923, 收盘: 0.923, 最高: 0.928, 最低: 0.921, 成交量: 1390937, 成交额: 128522899.4, 振幅: 0.76, 涨跌幅: 0.44, 涨跌额: 0.004, 换手率: 9.39, momentum_20: 0.041761, volatility_20: 0.013432, volume_mean_20: 1672121.7, return_mean_20: 0.2145, amplitude_mean_20: 0.7785, turnover_mean_20: 11.2885, MA_5: 0.9154, MA_10: 0.9194, y_pred_Y_next_day_return: 0.000309, y_pred_Y_future_5d_return: 0.000861, y_pred_Y_future_10d_return: -0.00157, y_pred_Y_future_5d_vol_change: 0.214041, y_pred_Y_future_10d_vol_change: 0.016663
ETF代码 563020: 开盘: 1.222, 收盘: 1.225, 最高: 1.226, 最低: 1.219, 成交量: 551397, 成交额: 68046893.0, 振幅: 0.57, 涨跌幅: 0.16, 涨跌额: 0.002, 换手率: 1.04, momentum_20: 0.014073, volatility_20: 0.006985, volume_mean_20: 701377.85, return_mean_20: 0.071, amplitude_mean_20: 1.1095, turnover_mean_20: 1.324, MA_5: 1.2244, MA_10: 1.2325, y_pred_Y_next_day_return: -3.9e-05, y_pred_Y_future_5d_return: 0.000727, y_pred_Y_future_10d_return: 0.001884, y_pred_Y_future_5d_vol_change: 0.835593, y_pred_Y_future_10d_vol_change: 0.479114
ETF代码 515800: 开盘: 1.206, 收盘: 1.209, 最高: 1.211, 最低: 1.199, 成交量: 548385, 成交额: 66234889.0, 振幅: 1.0, 涨跌幅: 0.25, 涨跌额: 0.003, 换手率: 1.24, momentum_20: -0.030473, volatility_20: 0.009611, volume_mean_20: 640605.35, return_mean_20: -0.1495, amplitude_mean_20: 1.3815, turnover_mean_20: 1.4455, MA_5: 1.2016, MA_10: 1.2113, y_pred_Y_next_day_return: -0.000499, y_pred_Y_future_5d_return: 0.000664, y_pred_Y_future_10d_return: 0.001652, y_pred_Y_future_5d_vol_change: 0.28059, y_pred_Y_future_10d_vol_change: 0.080543
ETF代码 159715: 开盘: 1.103, 收盘: 1.123, 最高: 1.125, 最低: 1.099, 成交量: 541093, 成交额: 60241665.881, 振幅: 2.35, 涨跌幅: 1.63, 涨跌额: 0.018, 换手率: 9.67, momentum_20: -0.074959, volatility_20: 0.016649, volume_mean_20: 535810.25, return_mean_20: -0.3755, amplitude_mean_20: 2.483, turnover_mean_20: 9.576, MA_5: 1.1096, MA_10: 1.1241, y_pred_Y_next_day_return: -0.000323, y_pred_Y_future_5d_return: 0.000467, y_pred_Y_future_10d_return: 0.00634, y_pred_Y_future_5d_vol_change: -0.047739, y_pred_Y_future_10d_vol_change: 0.082073
ETF代码 560500: 开盘: 1.125, 收盘: 1.14, 最高: 1.14, 最低: 1.125, 成交量: 64232, 成交额: 7298920.0, 振幅: 1.33, 涨跌幅: 0.8, 涨跌额: 0.009, 换手率: 1.79, momentum_20: -0.046025, volatility_20: 0.010612, volume_mean_20: 33891.15, return_mean_20: -0.23, amplitude_mean_20: 1.9305, turnover_mean_20: 0.944, MA_5: 1.1288, MA_10: 1.1343, y_pred_Y_next_day_return: -0.000341, y_pred_Y_future_5d_return: 0.000425, y_pred_Y_future_10d_return: 0.00815, y_pred_Y_future_5d_vol_change: 0.203611, y_pred_Y_future_10d_vol_change: 0.170722
ETF代码 515450: 开盘: 1.42, 收盘: 1.418, 最高: 1.423, 最低: 1.416, 成交量: 1003382, 成交额: 145440692.0, 振幅: 0.49, 涨跌幅: -0.35, 涨跌额: -0.005, 换手率: 0.93, momentum_20: 0.000706, volatility_20: 0.006176, volume_mean_20: 1124506.45, return_mean_20: 0.0055, amplitude_mean_20: 0.999, turnover_mean_20: 1.04, MA_5: 1.42, MA_10: 1.4277, y_pred_Y_next_day_return: -0.000257, y_pred_Y_future_5d_return: 0.000316, y_pred_Y_future_10d_return: 0.005076, y_pred_Y_future_5d_vol_change: 0.47654, y_pred_Y_future_10d_vol_change: 0.243689
ETF代码 562060: 开盘: 0.606, 收盘: 0.606, 最高: 0.606, 最低: 0.601, 成交量: 952765, 成交额: 57524279.0, 振幅: 0.83, 涨跌幅: 0.17, 涨跌额: 0.001, 换手率: 1.77, momentum_20: 0.013378, volatility_20: 0.008197, volume_mean_20: 621345.1, return_mean_20: 0.0695, amplitude_mean_20: 1.151, turnover_mean_20: 1.1555, MA_5: 0.6034, MA_10: 0.608, y_pred_Y_next_day_return: -0.000288, y_pred_Y_future_5d_return: 0.000227, y_pred_Y_future_10d_return: 0.000908, y_pred_Y_future_5d_vol_change: 0.388535, y_pred_Y_future_10d_vol_change: 0.152678
ETF代码 520550: 开盘: 1.234, 收盘: 1.222, 最高: 1.235, 最低: 1.222, 成交量: 297026, 成交额: 36762200.0, 振幅: 1.05, 涨跌幅: -0.89, 涨跌额: -0.011, 换手率: 3.0, momentum_20: 0.020886, volatility_20: 0.00862, volume_mean_20: 461784.45, return_mean_20: 0.1065, amplitude_mean_20: 1.078, turnover_mean_20: 4.6615, MA_5: 1.2294, MA_10: 1.2344, y_pred_Y_next_day_return: 3.9e-05, y_pred_Y_future_5d_return: -3e-06, y_pred_Y_future_10d_return: 0.00169, y_pred_Y_future_5d_vol_change: 0.256975, y_pred_Y_future_10d_vol_change: 0.188293
ETF代码 510180: 开盘: 3.944, 收盘: 3.955, 最高: 3.958, 最低: 3.927, 成交量: 77602, 成交额: 30951290.0, 振幅: 0.79, 涨跌幅: 0.3, 涨跌额: 0.012, 换手率: 0.14, momentum_20: -0.032061, volatility_20: 0.008574, volume_mean_20: 189961.2, return_mean_20: -0.1595, amplitude_mean_20: 1.161, turnover_mean_20: 0.34, MA_5: 3.9384, MA_10: 3.9699, y_pred_Y_next_day_return: -0.000242, y_pred_Y_future_5d_return: -0.00016, y_pred_Y_future_10d_return: 0.000997, y_pred_Y_future_5d_vol_change: 0.403185, y_pred_Y_future_10d_vol_change: 0.224571
ETF代码 159967: 开盘: 0.58, 收盘: 0.583, 最高: 0.588, 最低: 0.574, 成交量: 2641838, 成交额: 153369938.0, 振幅: 2.41, 涨跌幅: 0.52, 涨跌额: 0.003, 换手率: 5.68, momentum_20: -0.028333, volatility_20: 0.020378, volume_mean_20: 3615385.35, return_mean_20: -0.1245, amplitude_mean_20: 3.321, turnover_mean_20: 7.778, MA_5: 0.5702, MA_10: 0.5697, y_pred_Y_next_day_return: 0.001072, y_pred_Y_future_5d_return: -0.000263, y_pred_Y_future_10d_return: -0.000417, y_pred_Y_future_5d_vol_change: 0.343048, y_pred_Y_future_10d_vol_change: 0.034056
ETF代码 517300: 开盘: 0.925, 收盘: 0.927, 最高: 0.928, 最低: 0.922, 成交量: 5685, 成交额: 525991.0, 振幅: 0.65, 涨跌幅: 0.22, 涨跌额: 0.002, 换手率: 0.03, momentum_20: -0.023182, volatility_20: 0.008344, volume_mean_20: 20456.85, return_mean_20: -0.1155, amplitude_mean_20: 1.183, turnover_mean_20: 0.1055, MA_5: 0.924, MA_10: 0.928, y_pred_Y_next_day_return: -0.000302, y_pred_Y_future_5d_return: -0.000439, y_pred_Y_future_10d_return: -0.001195, y_pred_Y_future_5d_vol_change: 0.5136, y_pred_Y_future_10d_vol_change: 0.318756
ETF代码 159520: 开盘: 1.056, 收盘: 1.062, 最高: 1.062, 最低: 1.052, 成交量: 88693, 成交额: 9382741.6, 振幅: 0.95, 涨跌幅: 0.57, 涨跌额: 0.006, 换手率: 5.4, momentum_20: -0.019391, volatility_20: 0.006618, volume_mean_20: 81456.7, return_mean_20: -0.096, amplitude_mean_20: 1.0925, turnover_mean_20: 4.96, MA_5: 1.0572, MA_10: 1.06, y_pred_Y_next_day_return: -0.000223, y_pred_Y_future_5d_return: -0.000517, y_pred_Y_future_10d_return: -0.000477, y_pred_Y_future_5d_vol_change: 0.426925, y_pred_Y_future_10d_vol_change: 0.177836
ETF代码 515080: 开盘: 1.557, 收盘: 1.559, 最高: 1.559, 最低: 1.549, 成交量: 1613083, 成交额: 254063325.0, 振幅: 0.64, 涨跌幅: 0.13, 涨跌额: 0.002, 换手率: 3.36, momentum_20: -0.012666, volatility_20: 0.006356, volume_mean_20: 1396742.1, return_mean_20: -0.06, amplitude_mean_20: 0.9525, turnover_mean_20: 2.9065, MA_5: 1.5572, MA_10: 1.5731, y_pred_Y_next_day_return: -0.000442, y_pred_Y_future_5d_return: -0.000588, y_pred_Y_future_10d_return: 0.00213, y_pred_Y_future_5d_vol_change: 0.42509, y_pred_Y_future_10d_vol_change: 0.271377
ETF代码 159529: 开盘: 1.367, 收盘: 1.376, 最高: 1.376, 最低: 1.364, 成交量: 898626, 成交额: 123214410.521, 振幅: 0.88, 涨跌幅: 0.88, 涨跌额: 0.012, 换手率: 13.05, momentum_20: -0.009359, volatility_20: 0.010703, volume_mean_20: 829516.9, return_mean_20: -0.042, amplitude_mean_20: 1.0015, turnover_mean_20: 12.0475, MA_5: 1.359, MA_10: 1.3535, y_pred_Y_next_day_return: -0.000223, y_pred_Y_future_5d_return: -0.00059, y_pred_Y_future_10d_return: 0.002568, y_pred_Y_future_5d_vol_change: 0.148307, y_pred_Y_future_10d_vol_change: 0.13828
ETF代码 515010: 开盘: 1.355, 收盘: 1.353, 最高: 1.355, 最低: 1.341, 成交量: 245163, 成交额: 33036073.0, 振幅: 1.04, 涨跌幅: 0.37, 涨跌额: 0.005, 换手率: 1.79, momentum_20: -0.057143, volatility_20: 0.010373, volume_mean_20: 392331.0, return_mean_20: -0.2885, amplitude_mean_20: 1.401, turnover_mean_20: 2.8625, MA_5: 1.3508, MA_10: 1.3682, y_pred_Y_next_day_return: -0.000252, y_pred_Y_future_5d_return: -0.00071, y_pred_Y_future_10d_return: 0.000881, y_pred_Y_future_5d_vol_change: 0.290171, y_pred_Y_future_10d_vol_change: 0.155595
ETF代码 159910: 开盘: 2.331, 收盘: 2.342, 最高: 2.342, 最低: 2.325, 成交量: 5169, 成交额: 1208392.0, 振幅: 0.73, 涨跌幅: 0.43, 涨跌额: 0.01, 换手率: 0.5, momentum_20: -0.02579, volatility_20: 0.009389, volume_mean_20: 2804.0, return_mean_20: -0.127, amplitude_mean_20: 1.113, turnover_mean_20: 0.272, MA_5: 2.3332, MA_10: 2.3536, y_pred_Y_next_day_return: -0.000189, y_pred_Y_future_5d_return: -0.000818, y_pred_Y_future_10d_return: 0.000638, y_pred_Y_future_5d_vol_change: 0.218247, y_pred_Y_future_10d_vol_change: 0.048957
ETF代码 510760: 开盘: 1.245, 收盘: 1.252, 最高: 1.254, 最低: 1.239, 成交量: 1121640, 成交额: 139940732.0, 振幅: 1.21, 涨跌幅: 0.64, 涨跌额: 0.008, 换手率: 7.7, momentum_20: -0.015723, volatility_20: 0.007069, volume_mean_20: 1255726.9, return_mean_20: -0.076, amplitude_mean_20: 1.0145, turnover_mean_20: 8.615, MA_5: 1.2426, MA_10: 1.251, y_pred_Y_next_day_return: -0.000309, y_pred_Y_future_5d_return: -0.000955, y_pred_Y_future_10d_return: -0.002348, y_pred_Y_future_5d_vol_change: 0.502881, y_pred_Y_future_10d_vol_change: 0.449285
ETF代码 515650: 开盘: 1.2, 收盘: 1.205, 最高: 1.206, 最低: 1.194, 成交量: 744014, 成交额: 89400270.0, 振幅: 1.0, 涨跌幅: 0.33, 涨跌额: 0.004, 换手率: 2.37, momentum_20: 0.006683, volatility_20: 0.007251, volume_mean_20: 826995.45, return_mean_20: 0.036, amplitude_mean_20: 1.1235, turnover_mean_20: 2.632, MA_5: 1.2002, MA_10: 1.2011, y_pred_Y_next_day_return: -0.000396, y_pred_Y_future_5d_return: -0.001009, y_pred_Y_future_10d_return: -0.001924, y_pred_Y_future_5d_vol_change: 0.736598, y_pred_Y_future_10d_vol_change: 0.603845
ETF代码 159966: 开盘: 0.554, 收盘: 0.561, 最高: 0.562, 最低: 0.553, 成交量: 50241, 成交额: 2801548.9, 振幅: 1.62, 涨跌幅: 1.26, 涨跌额: 0.007, 换手率: 0.77, momentum_20: -0.053963, volatility_20: 0.013188, volume_mean_20: 85299.8, return_mean_20: -0.269, amplitude_mean_20: 1.9585, turnover_mean_20: 1.3025, MA_5: 0.5538, MA_10: 0.5578, y_pred_Y_next_day_return: -0.000541, y_pred_Y_future_5d_return: -0.001142, y_pred_Y_future_10d_return: -0.001626, y_pred_Y_future_5d_vol_change: 0.102056, y_pred_Y_future_10d_vol_change: 0.057044
ETF代码 562320: 开盘: 1.342, 收盘: 1.338, 最高: 1.342, 最低: 1.333, 成交量: 41951, 成交额: 5610419.0, 振幅: 0.67, 涨跌幅: -0.07, 涨跌额: -0.001, 换手率: 4.92, momentum_20: 0.006015, volatility_20: 0.006645, volume_mean_20: 55721.95, return_mean_20: 0.0335, amplitude_mean_20: 1.2045, turnover_mean_20: 6.5335, MA_5: 1.3376, MA_10: 1.3447, y_pred_Y_next_day_return: -0.000407, y_pred_Y_future_5d_return: -0.00116, y_pred_Y_future_10d_return: -0.000194, y_pred_Y_future_5d_vol_change: 0.669313, y_pred_Y_future_10d_vol_change: 0.413562
ETF代码 510880: 开盘: 3.087, 收盘: 3.087, 最高: 3.089, 最低: 3.072, 成交量: 899713, 成交额: 290065589.0, 振幅: 0.55, 涨跌幅: 0.0, 涨跌额: 0.0, 换手率: 1.68, momentum_20: -0.003229, volatility_20: 0.00726, volume_mean_20: 1300325.85, return_mean_20: -0.013, amplitude_mean_20: 1.112, turnover_mean_20: 2.43, MA_5: 3.0882, MA_10: 3.1194, y_pred_Y_next_day_return: -0.000438, y_pred_Y_future_5d_return: -0.001195, y_pred_Y_future_10d_return: -0.004122, y_pred_Y_future_5d_vol_change: 0.906936, y_pred_Y_future_10d_vol_change: 0.293865
ETF代码 159905: 开盘: 1.787, 收盘: 1.792, 最高: 1.792, 最低: 1.78, 成交量: 139218, 成交额: 24872246.002, 振幅: 0.67, 涨跌幅: 0.5, 涨跌额: 0.009, 换手率: 1.51, momentum_20: -0.001671, volatility_20: 0.008239, volume_mean_20: 275074.95, return_mean_20: -0.006, amplitude_mean_20: 1.1365, turnover_mean_20: 2.974, MA_5: 1.7786, MA_10: 1.784, y_pred_Y_next_day_return: -0.000248, y_pred_Y_future_5d_return: -0.001218, y_pred_Y_future_10d_return: -0.010469, y_pred_Y_future_5d_vol_change: 0.441721, y_pred_Y_future_10d_vol_change: 0.356326
