rebalance_date,strategy_a_codes,strategy_b_codes,strategy_a_return,strategy_b_return,strategy_a_count,strategy_b_count,llm_ranking_used,llm_fallback_used,explanation_requested,explanation_generated
2025-10-10,"['520500', '513330', '159915', '515220', '159807', '513730', '515580', '159715', '562310', '513050']","['515220', '513330', '520500', '513730', '159915', '159807', '515580', '159715', '562310', '513050']",-0.041662539294460135,-0.04166253929446014,10,10,True,False,False,False
2025-10-17,"['159715', '159682', '516160', '159939', '513730', '516050', '515980', '515220', '515400', '512980']","['159715', '516160', '159682', '159939', '513730', '515980', '516050', '515220', '515400', '512980']",0.05458453867055896,0.05458453867055896,10,10,True,False,False,False
2025-10-24,"['159967', '515050', '520500', '516050', '512480', '513730', '515750', '515700', '159781', '159995']","['515050', '159967', '512480', '159995', '159781', '515980', '516050', '159939', '515700', '515750']",-0.00915426353802174,-0.016838235023540298,10,10,True,False,False,False
2025-10-31,"['516050', '517520', '520500', '515050', '159967', '515750', '159995', '159939', '512480', '515860']","['520500', '159715', '159871', '513290', '159502', '516160', '159682', '512980', '159852', '512690']",-0.011544980760535931,-0.007168156718676319,10,10,True,False,False,False
2025-11-07,"['515050', '516050', '159995', '159939', '512480', '159715', '159871', '520500', '517520', '512580']","['515050', '516050', '159995', '512480', '159939', '159871', '159715', '512580', '517520', '159682']",-0.018065741154248936,-0.028970386747889754,10,10,True,False,False,False
2025-11-14,"['520500', '513330', '159871', '515050', '513310', '515700', '515980', '518850', '517520', '563020']","['520500', '516160', '513310', '159915', '159682', '513290', '159967', '515050', '159781', '159691']",-0.05453776332040559,-0.058347774139159515,10,10,True,False,False,False
2025-11-21,"['520500', '515860', '159915', '513330', '515050', '513310', '159916', '515800', '515700', '159871']","['520500', '515860', '159915', '513330', '515050', '513310', '159916', '515800', '515700', '159871']",0.04059965781031098,0.04059965781031098,10,10,True,False,False,False
2025-11-28,"['520500', '515700', '159871', '515050', '159687', '159509', '512580', '516160', '513310', '515790']","['520500', '515700', '159871', '515050', '159687', '159509', '512580', '516160', '513310', '515790']",0.00602227777221853,0.00602227777221853,10,10,True,False,False,False
2025-12-05,"['513310', '515790', '520500', '515700', '512580', '159509', '515050', '563020', '159307', '518850']","['515790', '520500', '513310', '159871', '517520', '159715', '159531', '159628', '510760', '159967']",0.0029432354581086,0.00430297423914785,10,10,True,False,True,True
2025-12-12,"['513310', '515220', '512580', '512010', '515700', '510880', '515080', '159871', '159928', '516050']","['513310', '515220', '159509', '516050', '159967', '159871', '512580', '159939', '159687', '518850']",-0.004391402321232051,-0.015097646652634269,10,10,True,False,False,False
2025-12-19,"['513310', '513060', '159871', '563020', '159509', '159687', '515450', '159307', '512290', '515650']","['513310', '159871', '513060', '159715', '159502', '159509', '512010', '515650', '512290', '159905']",0.011987009339963528,0.02287454652435907,10,10,True,False,False,False
2025-12-26,"['513310', '159715', '515700', '159687', '512580', '563020', '159916', '516160', '515450', '512010']","['513310', '159715', '515700', '516160', '512580', '518850', '560500', '159628', '159201', '512100']",0.038565149045905016,0.04054257645444458,10,10,True,False,True,True
2025-12-31,"['513310', '159967', '512980', '562060', '159883', '159687', '159871', '518850', '159916', '515220']","['513310', '159871', '512980', '159967', '517520', '562060', '159687', '518850', '159628', '515050']",0.06798680895838041,0.066752082054798,10,10,True,False,False,False
2026-01-09,"['515400', '159852', '513060', '515980', '512980', '513330', '513310', '159715', '159518', '159847']","['512980', '515400', '159852', '159715', '515980', '517520', '510500', '512100', '159883', '513060']",0.030676485025135442,0.02885166664610462,10,10,True,False,False,False
2026-01-16,"['159915', '510300', '510050', '510500', '512100', '513050', '512660', '562060', '159307', '159847']","['159915', '510300', '510050', '510500', '512100', '513050', '512660', '562060', '159307', '159847']",0.014552534164972191,0.014552534164972191,10,10,True,False,False,False
2026-01-23,"['516160', '512580', '510300', '510050', '515790', '513050', '518850', '159307', '159807', '159687']","['515790', '516160', '512580', '512100', '510500', '588030', '159995', '518850', '513060', '159847']",-0.007382876748909499,-0.03203503792912679,10,10,True,False,False,False
2026-01-30,"['159518', '512980', '512660', '510500', '159930', '159687', '515220', '560500', '518850', '512690']","['517520', '159715', '159518', '512980', '159930', '515220', '159687', '512660', '510500', '588030']",-0.018903116417368103,-0.03147375474669259,10,10,True,False,False,False
2026-02-06,"['517520', '513310', '518850', '159871', '512660', '159518', '512980', '159715', '515400', '159852']","['513310', '517520', '159871', '518850', '159715', '512660', '159518', '512980', '515400', '159852']",0.03562753851507667,0.03562753851507667,10,10,True,False,False,False
2026-02-10,"['159871', '517520', '518850', '512980', '159518', '159715', '513060', '512660', '513290', '515400']","['517520', '159871', '518850', '159518', '512980', '159715', '515790', '513060', '159930', '512660']",0.02410258899472096,0.02691056853335283,10,10,True,False,False,False
